Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9379310344827584,0.9370250169033132,0.9450574712643676,0.938799798378992,20250424_221402,CNN_PSD_Bandas,PSD por bandas segmentado,Nested_CV,128,30,0.001,adam
0,0.9620689630508424,0.9532872503840244,0.9726436781609196,0.9625810288432948,20250424_220507,CNN_PSD_Bandas,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
0,0.9146017789840698,0.9195575923763504,0.9225563909774436,0.9208726538653622,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.9074115037918092,0.9043868338302956,0.9155388471177944,0.9088374633351072,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.9620689630508424,0.9661261483953364,0.9590804597701148,0.9618646850908684,20250425_024047,CNN0,PSD por bandas segmentado,K-fold_CV,128,30,0.001,adam
0,0.4193548387096774,0.4838709677419355,0.4838709677419355,0.4838709677419355,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
0,0.9032258064516128,0.4193548387096774,0.4193548387096774,0.4193548387096774,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
0,0.509023380279541,0.5071052677284331,0.5662907268170426,0.5202062448554623,20250424_192410,LSTM1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.5483870967741935,0.3870967741935484,0.3870967741935484,0.3870967741935484,20250428_050542,DNN,Temporal/Espacial,LOOCV,32,60,0.001,adam
0,0.6129032258064516,0.3548387096774194,0.3548387096774194,0.3548387096774194,20250428_043701,DNN,Potencia por banda γ,LOOCV,32,60,0.001,adam
0,0.6451612903225806,0.3870967741935484,0.3870967741935484,0.3870967741935484,20250428_032554,DNN,Vectores de potencia (PSD por canal) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
0,0.4838709677419355,0.0,0.0,0.0,20250428_035156,DNN,Potencia por bandas EEG (TODAS: δ a γ) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
0,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20250425_033056,DNN,Potencias relativas,LOOCV,32,60,0.001,adam
0,0.967741935483871,0.5161290322580645,0.5161290322580645,0.5161290322580645,20250425_030432,DNN,CSP,LOOCV,32,60,0.001,adam
0,0.5801042973995209,0.5908372711147903,0.7360275689223057,0.648469639920288,20250424_191813,CNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.5641434907913208,0.5398558552231119,0.9649122807017544,0.6900206729729976,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.4516129032258064,0.4193548387096774,0.4193548387096774,0.4193548387096774,20250428_033922,ShallowConvNet2D,Vectores de potencia (PSD por canal) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
0,0.4838709677419355,0.3548387096774194,0.3548387096774194,0.3548387096774194,20250428_033242,EEGNet2D,Vectores de potencia (PSD por canal) - Ventanas de 20 segundos,LOOCV,32,60,0.001,adam
0,0.2580645161290322,0.3548387096774194,0.3548387096774194,0.3548387096774194,20250428_045155,RNN1,Temporal/Espacial,LOOCV,32,60,0.001,adam
0,0.6493204712867737,0.6643457223756508,0.6763784461152882,0.6659754799410442,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6672882437705994,0.6979352106979063,0.6973684210526316,0.6950158317342352,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.2258064516129032,0.4838709677419355,0.4838709677419355,0.4838709677419355,20250428_045826,DLBLSTM,Temporal/Espacial,LOOCV,32,60,0.001,adam
